entry_id,co2_ppm,ch4_ppm,created_at,fecha
2690,784,780.93756,2025-08-20T22:39:37-05:00,2025-08-20
2691,785,780.93756,2025-08-20T22:40:07-05:00,2025-08-20
2692,786,780.93756,2025-08-20T22:40:37-05:00,2025-08-20
2693,787,784.45306,2025-08-20T22:41:10-05:00,2025-08-20
2694,786,780.93756,2025-08-20T22:41:37-05:00,2025-08-20
2695,784,780.23438,2025-08-20T22:42:07-05:00,2025-08-20
2696,785,781.64056,2025-08-20T22:42:37-05:00,2025-08-20
2697,784,780.23438,2025-08-20T22:43:07-05:00,2025-08-20
2698,784,780.23438,2025-08-20T22:43:37-05:00,2025-08-20
2699,784,781.64056,2025-08-20T22:44:10-05:00,2025-08-20
2700,786,780.23438,2025-08-20T22:44:37-05:00,2025-08-20
2701,786,780.23438,2025-08-20T22:45:07-05:00,2025-08-20
2702,785,780.93756,2025-08-20T22:45:37-05:00,2025-08-20
2703,785,783.75012,2025-08-20T22:46:08-05:00,2025-08-20
2704,787,782.34375,2025-08-20T22:46:37-05:00,2025-08-20
2705,787,781.64056,2025-08-20T22:47:07-05:00,2025-08-20
2706,784,780.23438,2025-08-20T22:47:37-05:00,2025-08-20
2707,782,778.12506,2025-08-20T22:48:08-05:00,2025-08-20
2708,783,780.93756,2025-08-20T22:48:38-05:00,2025-08-20
2709,781,777.42187,2025-08-20T22:49:09-05:00,2025-08-20
2710,782,777.42187,2025-08-20T22:49:38-05:00,2025-08-20
2711,781,775.31256,2025-08-20T22:50:08-05:00,2025-08-20
2712,780,774.60937,2025-08-20T22:50:38-05:00,2025-08-20
2713,781,774.60937,2025-08-20T22:51:08-05:00,2025-08-20
2714,783,778.82825,2025-08-20T22:51:41-05:00,2025-08-20
2715,781,777.42187,2025-08-20T22:52:08-05:00,2025-08-20
2716,782,778.12506,2025-08-20T22:52:38-05:00,2025-08-20
2717,784,780.93756,2025-08-20T22:53:08-05:00,2025-08-20
2718,783,780.23438,2025-08-20T22:53:38-05:00,2025-08-20
2719,783,777.42187,2025-08-20T22:54:09-05:00,2025-08-20
2720,782,778.12506,2025-08-20T22:54:38-05:00,2025-08-20
2721,782,778.12506,2025-08-20T22:55:08-05:00,2025-08-20
2722,783,777.42187,2025-08-20T22:55:38-05:00,2025-08-20
2723,782,778.82825,2025-08-20T22:56:08-05:00,2025-08-20
2724,782,777.42187,2025-08-20T22:56:39-05:00,2025-08-20
2725,782,778.12506,2025-08-20T22:57:11-05:00,2025-08-20
2726,782,779.53119,2025-08-20T22:57:39-05:00,2025-08-20
2727,781,778.12506,2025-08-20T22:58:09-05:00,2025-08-20
2728,781,778.12506,2025-08-20T22:58:39-05:00,2025-08-20
2729,782,778.82825,2025-08-20T22:59:08-05:00,2025-08-20
2730,781,778.12506,2025-08-20T22:59:40-05:00,2025-08-20
2731,781,777.42187,2025-08-20T23:00:09-05:00,2025-08-20
2732,780,775.31256,2025-08-20T23:00:39-05:00,2025-08-20
2733,780,774.60937,2025-08-20T23:01:10-05:00,2025-08-20
2734,779,775.31256,2025-08-20T23:01:42-05:00,2025-08-20
2735,781,779.53119,2025-08-20T23:02:09-05:00,2025-08-20
